iter	RMSE
181	0.1490503999
182	0.1484443896
183	0.1480118614
184	0.1475251111
185	0.1474047744
186	0.1471593589
187	0.1466341478
188	0.1463418911
189	0.1459599231
190	0.1457186328
191	0.1455282233
192	0.1450642974
193	0.1446562734
194	0.1442562179
195	0.1437846006
196	0.1434457865
197	0.1431512989
198	0.142936727
199	0.1425738471
200	0.1422375854
201	0.1418248714
202	0.1415675539
203	0.1412305046
204	0.1411326512
205	0.1406748224
206	0.1404311202
207	0.1401488771
208	0.1396741885
209	0.139245225
210	0.1389885917
211	0.138695853
212	0.1381472367
213	0.1378302367
214	0.1374537801
215	0.1371303221
216	0.1368172387
217	0.1364970277
218	0.1362885177
219	0.1362068503
220	0.1360141779
221	0.1356637938
222	0.1354870552
223	0.1351726735
224	0.1349002076
225	0.1344992
226	0.1341141536
227	0.1338265991
228	0.1336004416
229	0.1334944193
230	0.1332317724
231	0.1330440399
232	0.1327745134
233	0.1323838761
234	0.1321317102
235	0.1319321818
236	0.131841694
237	0.1314621365
238	0.1313069665
239	0.1312331004
240	0.130886375
241	0.130685618
242	0.1304714407
243	0.1302962753
244	0.1298408024
245	0.1294262018
246	0.1293504891
247	0.1289908248
248	0.1288269023
249	0.1284918575
250	0.1281517405
251	0.1280751905
252	0.1278696178
253	0.12769005
254	0.1272679856
255	0.126947201
256	0.1268542893
257	0.1265975973
258	0.1265231515
259	0.1261879689
260	0.1257956842
261	0.1254439212
262	0.1250248528
263	0.1247916845
264	0.1245007529
265	0.1243065758
266	0.123954283
267	0.1235873716
268	0.123338838
269	0.1230513038
270	0.1226776599
271	0.1224818434
272	0.1223699828
273	0.1220430456
274	0.1218425426
275	0.1217783122
276	0.1216049195
277	0.12130301
278	0.1212224972
279	0.1208826156
280	0.1205770242
281	0.1202785857
282	0.1199796355
283	0.1196816126
284	0.1192980316
285	0.1190472147
286	0.1186695318
287	0.1182966478
288	0.118227729
289	0.1177719096
290	0.1174831402
291	0.1172776669
292	0.1169959411
293	0.1167254721
294	0.1164068034
295	0.1163104833
296	0.1160805216
297	0.1157085058
298	0.1154247124
299	0.1152639928
300	0.1150616314
301	0.1146962561
302	0.1146296827
303	0.1143718968
304	0.1143086121
305	0.1139730831
306	0.1137126068
307	0.1136543897
308	0.1136008968
309	0.113279091
310	0.1130328927
311	0.1128223779
312	0.1126686491
313	0.1123754724
314	0.1121157696
315	0.1119881058
316	0.1117519956
317	0.1114102384
318	0.1112913816
319	0.1109953483
320	0.1109523053
321	0.1107558553
322	0.1106998496
323	0.1105520773
324	0.1104139096
325	0.1101358731
326	0.1099596007
327	0.1098685184
328	0.109828782
329	0.1096817806
330	0.1095542126
331	0.1093083021
332	0.1089725165
333	0.1088092498
334	0.1085388021
335	0.1083504977
336	0.1080649284
337	0.1078102242
338	0.1075263901
339	0.1072609726
340	0.1069583691
341	0.106751106
342	0.1066361453
343	0.106546358
344	0.1061447191
345	0.1058897647
346	0.1057731964
347	0.1057247163
348	0.1054704164
349	0.1051955727
350	0.1049715716
351	0.1046898597
352	0.1044670608
353	0.1043808051
354	0.1040842399
355	0.1037548995
356	0.1035374819
357	0.1033111451
358	0.1030911886
359	0.1028869454
360	0.1027280528
361	0.1023640811
362	0.1021901858
363	0.1019928505
364	0.1018458931
365	0.1016450352
366	0.1014859926
367	0.1013758405
368	0.1010605175
369	0.1009470094
370	0.1007388421
371	0.1005892238
372	0.100495488
373	0.1001546468
374	0.09982291019
375	0.09962027541
376	0.09948932949
377	0.09940381073
378	0.0992373701
379	0.09900313431
380	0.09891276816
381	0.09882586675
382	0.09870271011
383	0.09863363666
384	0.09842557571
385	0.09814536038
386	0.09794122887
387	0.09790451605
388	0.09765121709
389	0.09747577847
390	0.09721739659
391	0.09713044321
392	0.09680097032
393	0.09647243377
394	0.09630031766
395	0.09618498197
396	0.09598134601
397	0.09595241288
398	0.09574213088
399	0.09547360053
400	0.09521947617
401	0.09500602013
402	0.0947376391
403	0.09453349795
404	0.09446128978
405	0.09436200819
406	0.09412707382
407	0.0939382919
408	0.09362937936
409	0.09340172438
410	0.09324222213
411	0.09315222199
412	0.09306857165
413	0.0929968308
414	0.09284252028
415	0.09262538898
416	0.09253859556
417	0.09238683142
418	0.09221241378
419	0.0920937506
420	0.09201046078
421	0.09186000174
422	0.091631449
423	0.09139398513
424	0.0912075022
425	0.09117694893
426	0.09109496669
427	0.09096012839
428	0.0907278251
429	0.09066736763
430	0.09053822593
431	0.09050869863
432	0.09028795339
433	0.09009688952
434	0.08995515738
435	0.08993353424
436	0.08980911519
437	0.08954076512
438	0.08935502084
439	0.08920658548
440	0.08905784418
441	0.08889221987
442	0.08883369163
443	0.08866387824
444	0.08840284588
445	0.08815068537
446	0.0880946919
447	0.08791756212
448	0.08767847689
449	0.08760411615
450	0.08746973892
451	0.08728190797
452	0.08717755221
453	0.08708570541
454	0.08703738274
455	0.08685845882
456	0.08663154078
457	0.08649740935
458	0.08638302835
459	0.08618804514
460	0.0861470733
461	0.08596642977
462	0.08594089905
463	0.08582193528
464	0.08565806729
465	0.08547272985
466	0.08537761013
467	0.08517078816
468	0.08505678956
469	0.08483868204
470	0.08463159263
471	0.08457356106
472	0.08435126079
473	0.08432557093
474	0.08425749907
475	0.08407050783
476	0.08394281732
477	0.08380458147
478	0.08361208742
479	0.08335364875
480	0.08316333567
481	0.08314071714
482	0.08303094235
483	0.08300845061
484	0.08282967163
485	0.0827060975
486	0.08259362158
487	0.08235283338
488	0.08229311472
489	0.08211543604
490	0.08195656333
491	0.08185267805
492	0.08177375898
493	0.08154956969
494	0.08139442791
495	0.08124144998
496	0.08110921786
497	0.0809155147
498	0.08074045089
499	0.08052235605
500	0.08038838291
501	0.08016050823
502	0.07999260459
503	0.07987715649
504	0.07980951353
505	0.07959257708
506	0.07944572723
507	0.07925445064
508	0.07908411478
509	0.07892186742
510	0.07877201727
511	0.07875195211
512	0.07873144483
513	0.07851004939
514	0.07844018048
515	0.07823020937
516	0.07808972984
517	0.077993647
518	0.07797304671
519	0.07779646164
520	0.07763436514
521	0.07748658303
522	0.07737056414
523	0.07723987946
524	0.07707153357
525	0.07694563988
526	0.07675481599
527	0.07663049376
528	0.0765446964
529	0.07651797203
530	0.07638041199
531	0.07618700454
532	0.07597286057
533	0.07595411589
534	0.07573473447
535	0.075664183
536	0.07558253009
537	0.07545851052
538	0.07539140523
539	0.0753746242
540	0.07522481068
541	0.07520301807
542	0.07504282369
543	0.07502614774
544	0.07487325936
545	0.07474954541
546	0.07460979295
547	0.07442778256
548	0.07441124154
549	0.07426020181
550	0.07413869258
551	0.07412262576
552	0.07396754785
553	0.07382995377
554	0.07368385167
555	0.07354151354
556	0.07350275552
557	0.07339111009
558	0.07321257579
559	0.07318324834
560	0.07301315673
561	0.072823275
562	0.07273810188
563	0.0725735772
564	0.07254620565
565	0.07243073415
566	0.07232138211
567	0.07219896996
568	0.07208452074
569	0.07195486925
570	0.07190548936
571	0.07176796976
572	0.07159198495
573	0.07145834795
574	0.07130232179
575	0.0712928094
576	0.07123786834
577	0.07109003427
578	0.07104706385
579	0.07092731066
580	0.07077217351
581	0.07067271429
582	0.07054254424
583	0.07043468399
584	0.07027118132
585	0.07019577263
586	0.07006005542
587	0.06993588949
588	0.06987354771
589	0.06982402636
590	0.06968916856
591	0.06958050789
592	0.06942546061
593	0.06935646185
594	0.06921962855
595	0.0690443082
596	0.06890732051
597	0.06880961711
598	0.06868268984
599	0.06859970287
600	0.06845192337
601	0.06838811823
602	0.06822076379
603	0.06817596339
604	0.06808471262
605	0.067916166
606	0.06775187178
607	0.06761579667
608	0.06757038581
609	0.0674453064
610	0.06737512413
611	0.06727302317
612	0.06713522631
613	0.06699244056
614	0.06691344337
615	0.0667948106
616	0.06672990467
617	0.0667015844
618	0.06655846292
619	0.06640766124
620	0.06631125284
621	0.06616602544
622	0.06601704307
623	0.0659959955
624	0.06588742979
625	0.06579152016
626	0.06561526615
627	0.06558929466
628	0.06545715836
629	0.06527531656
630	0.06517564574
631	0.06500732237
632	0.06491915867
633	0.06484075199
634	0.06474728411
635	0.06461761484
636	0.06455518416
637	0.06449349878
638	0.06437839934
639	0.06434395065
640	0.06432828112
641	0.06427307091
642	0.06421839553
643	0.06410869046
644	0.06396758443
645	0.06387206262
646	0.0637965899
647	0.06373870989
648	0.06372342176
649	0.0636421765
650	0.06356042221
651	0.06343214158
652	0.06329480362
653	0.06311345814
654	0.06301515806
655	0.06291429552
656	0.06282101967
657	0.06271384258
658	0.06266313588
659	0.06252203361
660	0.0624343052
661	0.06230039221
662	0.06217722758
663	0.0621036902
664	0.06199336337
665	0.06189872825
666	0.06185473459
667	0.06180442651
668	0.06173554956
669	0.06161914887
670	0.06154494881
671	0.06145630675
672	0.0613472819
673	0.061330674
674	0.06120066912
675	0.06107400231
676	0.06099121419
677	0.06094168802
678	0.06083655381
679	0.06074035798
680	0.06071709135
681	0.06060334281
682	0.06047469475
683	0.06039025561
684	0.06026448768
685	0.0601443768
686	0.06003247139
687	0.05991845225
688	0.05988113477
689	0.05980605807
690	0.0596766607
691	0.0595825527
692	0.05955343607
693	0.05945863575
694	0.05937457318
695	0.05932776153
696	0.05924161237
697	0.05915185106
698	0.05903204091
699	0.05891856797
700	0.05879476272
701	0.05871679389
702	0.058659945
703	0.05857201391
704	0.05851169615
705	0.05842873991
706	0.05836586789
707	0.05831362213
708	0.05823297298
709	0.05807946485
710	0.05796959087
711	0.05792292532
712	0.05784804725
713	0.05781529112
714	0.05778385466
715	0.05769184935
716	0.05758842328
717	0.05747698386
718	0.05736592673
719	0.0573040511
720	0.05716338206
721	0.05701397229
722	0.05688424618
723	0.0567938421
724	0.05669136469
725	0.056664571
726	0.05654418022
727	0.05645228912
728	0.05642166849
729	0.05634905693
730	0.05621429531
731	0.05618640547
732	0.05609552519
733	0.05600131346
734	0.05592438948
735	0.05580217638
736	0.05569162005
737	0.05561175754
738	0.05553858833
739	0.05543069161
740	0.05528514784
741	0.05517995903
742	0.05508545072
743	0.0549766557
744	0.0548410038
745	0.05470594494
746	0.05461607038
747	0.0546024756
748	0.05453523599
749	0.05452175502
750	0.0545087107
751	0.05438216915
752	0.05431019118
753	0.0542110383
754	0.05416878469
755	0.05409365465
756	0.05396797992
757	0.05388505532
758	0.05379249422
759	0.05370820237
760	0.05359958432
761	0.05350071406
762	0.05349019583
763	0.05340747025
764	0.05334858596
765	0.0532930456
766	0.05324751542
767	0.05316321093
768	0.0530677245
769	0.05298961445
770	0.05291415339
771	0.052837902
772	0.05272686608
773	0.05265973382
774	0.05257063475
775	0.05250987219
776	0.05244284197
777	0.05241705738
778	0.05231812137
779	0.05224710625
780	0.05214931268
781	0.05205762664
782	0.05198356565
783	0.05195103041
784	0.05187663348
785	0.0517867501
786	0.05175010915
787	0.05161448829
788	0.05152387828
789	0.05143644687
790	0.05136644603
791	0.05129828068
792	0.05123034752
793	0.05118609704
794	0.05107765704
795	0.05106883316
796	0.05101215559
797	0.0509401534
798	0.05089599865
799	0.05081159721
800	0.050717069
801	0.05070585165
802	0.05061930767
803	0.05060441735
804	0.05052342785
805	0.05044818413
806	0.05035368806
807	0.05033627147
808	0.05027284125
809	0.05024719342
810	0.05019360228
811	0.05007546369
812	0.05000443184
813	0.04997191432
814	0.04989477667
815	0.04980455093
816	0.04977319526
817	0.04970019409
818	0.04967236466
819	0.04958818535
820	0.04954039364
821	0.04944889403
822	0.04940032909
823	0.04935184032
824	0.0493116565
825	0.04921556119
826	0.0491241492
827	0.04907437436
828	0.04900418577
829	0.04899372043
830	0.04889865643
831	0.04884168558
832	0.0487823918
833	0.04870330524
834	0.04865781875
835	0.04858343294
836	0.04848944673
837	0.04848091159
838	0.04837658625
839	0.04829078838
840	0.0482517585
841	0.04816404309
842	0.04808684856
843	0.04801243616
844	0.04798468301
845	0.04791886422
846	0.0478358949
847	0.04773864241
848	0.04767450391
849	0.04764862603
850	0.04759244857
851	0.04758341187
852	0.04757860674
853	0.04753347675
854	0.0474677264
855	0.04740338465
856	0.04737254676
857	0.04728217332
858	0.04719532474
859	0.04715951762
860	0.04713278788
861	0.04711192939
862	0.0470367578
863	0.04696281702
864	0.04692846615
865	0.04690162288
866	0.04688908012
867	0.04682459157
868	0.04681663273
869	0.04679057175
870	0.04672277506
871	0.04671086953
872	0.04663897959
873	0.04655535562
874	0.04654329869
875	0.04645660104
876	0.04637573325
877	0.0463444884
878	0.0463137457
879	0.04624837951
880	0.04617280814
881	0.04609532533
882	0.04608716481
883	0.04599728728
884	0.04588358945
885	0.04580933835
886	0.0457211808
887	0.04566866135
888	0.04563123265
889	0.04552974632
890	0.04550569038
891	0.04541595229
892	0.04533464531
893	0.04528993873
894	0.04522219029
895	0.04519114398
896	0.04514855123
897	0.0450609089
898	0.04501103671
899	0.04495292666
900	0.04487905626
901	0.0448122642
902	0.04474451442
903	0.04469084674
904	0.04461610631
905	0.04455206589
906	0.04449884276
907	0.04449316917
908	0.04447282924
909	0.04446809327
910	0.04439682288
911	0.04432971847
912	0.04426167709
913	0.04425011791
914	0.04415973704
915	0.04407909295
916	0.04404683339
917	0.0439942349
918	0.04399030166
919	0.0439471432
920	0.04393251766
921	0.04388280642
922	0.0438032929
923	0.04372762901
924	0.04372086576
925	0.04366355225
926	0.04358839095
927	0.04352416465
928	0.04346765218
929	0.0433891728
930	0.04330931426
931	0.04330572392
932	0.04329620604
933	0.04325238035
934	0.04321689691
935	0.0431527629
936	0.04312323016
937	0.04304422531
938	0.04299954332
939	0.0429224642
940	0.04291593383
941	0.04287672396
942	0.0428310538
943	0.0427837171
944	0.04272264827
945	0.0426422248
946	0.04261427726
947	0.04257591657
948	0.04252256891
949	0.04245698403
950	0.04241460472
951	0.04234117876
952	0.04229798305
953	0.04223719795
954	0.04219635667
955	0.04213868105
956	0.04211064851
957	0.04210196169
958	0.04205280435
959	0.0420037169
960	0.04195314025
961	0.0419141881
962	0.04186367285
963	0.04178390825
964	0.04177822758
965	0.04177447409
966	0.04170129263
967	0.04167345689
968	0.04162296433
969	0.0415876776
970	0.04150925021
971	0.04146214879
972	0.04140050453
973	0.04136965941
974	0.04131933334
975	0.04125528836
976	0.04121148164
977	0.0411628322
978	0.04110377524
979	0.04103625004
980	0.04100992171
981	0.04096920778
982	0.04096429039
983	0.04094524219
984	0.04087288933
985	0.04085187794
986	0.04084891909
987	0.04076836693
988	0.04073648911
989	0.04070503659
990	0.04065626827
991	0.04059859138
992	0.04057706715
993	0.04049511515
994	0.04043091293
995	0.04035431622
996	0.04028489989
997	0.0402140504
998	0.04018529367
999	0.04013880308
